El-number,tags,Name,Description,Art_nr,EAN_Tekst,Type,Effect,Area,Width,Length,MainSpec,Voltage,per_meter,self_limiting,isMat,inside,outside,effekt_mod,wm_mod,lengde_mod,type_mod
1011435,,"Stretch 170W/3,5m2 0,5x7m Blå",Elastisk varmekabelmatte for nedstøping,7071236001355,"TF Stretch 595W/3,5m2 0,5x7m",Stretch 170W, 595,"3,5","0,5",7,170,230,FALSE,FALSE,TRUE,TRUE,FALSE,1,3,1,2
1011617,,BVK 10 700W/70m 10W/m,Elektrisk varmekabel for nedstøping,7071236008484,TF BVK 10 700W/70m 10W/m,BVK 10, 700,,,70,10,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011692,,SVK 30 2100W/70m 30W/m,Varmekabel utendørs bruk 30W/m,7071236008804,TF SVK 30 2100W/70m 30W/m,SVK 30, 2100,,,70,30,230,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,,2
1011609,,NSX 17 1250W/74m 17W/m,Elektrisk varmekabel for nedstøping,7071236012887,NSX 17 1250W/74m 17W/m,NSX 17, 1250,,,74,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011662,,SVK 17 1250W/74m 17W/m,Varmekabel i ferdige elementer 17W/m,7071236008651,TF SVK 17 1250W/74m 17W/m,SVK 17, 1250,,,74,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011308,,SBG Blå 10W/8m 80W m/plugg,Selvbegrensende varmekabel,7071236005926,TF SBG Blå 10W/8m 80W m/plug,SBG Blå, 80,,,8,10,230,FALSE,TRUE,FALSE,TRUE,FALSE,2,,,2
1011358,,SBG 13W/8m 104W m/plugg,Selvbegrensende varmekabel,7071236001119,TF SBG 13W/8m 104W m/plugg,SBG 13W, 104,,,8,13,230,FALSE,TRUE,FALSE,TRUE,FALSE,2,,,2
1011436,,"Stretch 170W/4m2 0,5x8m Blå",Elastisk varmekabelmatte for nedstøping,7071236001362,"TF Stretch 680W/4m2 0,5x8m",Stretch 170W, 680,4,"0,5",8,170,230,FALSE,FALSE,TRUE,TRUE,FALSE,1,3,1,2
1011278,,SVK 10 800W/80m 10W/m,Varmekabel i ferdige elementer 10W/m,7071236001027,TF SVK 10 800W/80m 10W/m,SVK 10, 800,,,80,10,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011618,,BVK 10 800W/80m 10W/m,Elektrisk varmekabel for nedstøping,7071236008491,TF BVK 10 800W/80m10W/m,BVK 10, 800,,,80,10,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011694,,SVK 30 2400W/80m 30W/m,Varmekabel utendørs bruk 30W/m,7071236008811,TF SVK 30 2400W/80m 30W/m,SVK 30, 2400,,,80,30,230,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,,2
1011458,,BHK 40W/m 85m 3500W,Elektrisk varmekabel for betongherding,7071236005230,TF BHK 40W/m 85m 3500W,BHK 40W, 3500,,,85,40,230,FALSE,FALSE,FALSE,TRUE,FALSE,,,,2
1011665,,SVK 17 1500W/88m 17W/m,Varmekabel i ferdige elementer 17W/m,7071236008668,TF SVK 17 1500W/88m 17W/m,SVK 17, 1500,,,88,17,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
1011437,,"Stretch 765W/4,5m2 0,5x9m",Varmekabelmatte for nedstøping,7071236001379,"TF Stretch 765W/4,5m2 0,5x9m",Stretch 765W, 765,"4,5","0,5",9,170,230,FALSE,FALSE,TRUE,TRUE,FALSE,1,3,1,2
1011619,,BVK 10 900W/90m 10W/m,Elektrisk varmekabel for nedstøping,7071236008507,TF BVK 10 900W/90m10W/m,BVK 10, 900,,,90,10,230,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,,2
