El-number,Effect,Length,R_min,R_nom,R_max,I,Weigth,Type,Name,MainSpec,Voltage,per_meter,isMat,usage,self_limiting,inside,outside,,,
1036365,525,70,95,"100,7619048",111,"2,3","3,4",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037227,600,80,84,"88,16666667",97,"2,6","3,9",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1036366,675,90,74,"78,37037037",87,"2,9","4,3",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037228,790,105,64,"66,96202532",74,"3,4","4,9",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1036367,900,120,56,"58,77777778",65,"3,9","5,5",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1037229,1015,135,50,"52,1182266",58,"4,4","6,2",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1036368,1165,155,44,"45,40772532",50,"5,1",7,30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1036369,1390,185,37,"38,05755396",42,6,"8,3",30-21L,30-21L 8,8,230,FALSE,FALSE,"low_profile, frost_protection_gutter, LamiFlex, frost_protection_pipe",FALSE,TRUE,FALSE,,,
1036732,130,13,387,"406,9230769",448,"0,6",1,GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036733,220,22,228,"240,4545455",265,1,"1,3",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036734,300,30,168,"176,3333333",194,"1,3","1,7",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036735,430,43,117,"123,0232558",135,"1,9","2,2",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036736,520,52,97,"101,7307692",112,"2,3","2,6",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036737,630,63,80,"83,96825397",93,"2,7","3,1",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036738,700,70,72,"75,57142857",83,3,"3,4",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036739,800,80,63,"66,125",73,"3,5","3,8",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036742,910,91,55,"58,13186813",64,4,"4,3",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036743,1000,100,50,"52,9",58,"4,3","4,7",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036744,1170,117,43,"45,21367521",50,"5,1","5,4",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036755,1300,130,39,"40,69230769",45,"5,7",6,GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036745,1420,142,35,"37,25352113",41,"6,2","6,5",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
